CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO
c4,음식점,다가미 애월점,제주특별자치도 제주시 애월읍 평화로 2901-1,2023,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00000
c4,음식점,다가미(도남),제주특별자치도 제주시 도남로 111,2023,20,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.00000
c4,음식점,다니쉬,제주특별자치도 제주시 조천읍 함덕16길 56,2023,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000
c4,음식점,다다익고 정육식당,제주특별자치도 서귀포시 색달로 25,2023,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00000
c4,음식점,다람쥐 식탁,제주특별자치도 제주시 한림읍 명월성로 10,2023,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00000
c4,음식점,다래향,제주특별자치도 제주시 조천읍 조함해안로 428-4,2023,17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.00000
c4,음식점,다래향 세화점,제주특별자치도 제주시 구좌읍 세화1길 4,2023,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000
c4,음식점,다미안,제주특별자치도 서귀포시 이어도로 905,2023,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000
c4,음식점,다미진,제주특별자치도 서귀포시 표선면 민속해안로 578-1,2023,13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00000
c4,음식점,다미회,제주특별자치도 제주시 동광로2길 9-4,2023,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000
c4,음식점,다소니,제주특별자치도 제주시 오남로6길 24,2023,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.00000
c4,음식점,다올김밥분식,제주특별자치도 제주시 남녕로 48,2023,14,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.00000
c4,음식점,다육이풍경,제주특별자치도 서귀포시 하효중앙로98번길 27,2023,22,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.00000
c4,음식점,다이노바이트 샌드위치,제주특별자치도 제주시 관덕로 16,2023,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000
c4,음식점,다정이네,제주특별자치도 서귀포시 동문로 59-1,2023,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000
c4,음식점,다정이네김밥 서귀포신시가지점,제주특별자치도 서귀포시 이어도로 796,2023,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000
c4,음식점,다해복국,제주특별자치도 제주시 문송1길 17 (연동),2023,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.00000
c4,음식점,닥그네할망,제주특별자치도 제주시 신성로10길 18,2023,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000
c4,음식점,단당류,제주특별자치도 제주시 한경면 녹차분재로 514,2023,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000
c4,음식점,달그락식탁,제주특별자치도 제주시 조천읍 신흥로 2,2023,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000
c4,음식점,달리책방,제주시 한림읍 월계로 18 1층,2023,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000
c4,음식점,달마야해물탕,제주특별자치도 제주시 조천읍 북촌7길 37,2023,13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00000
c4,음식점,달빛머금은카페,제주특별자치도 제주시 중앙로3길 17,2023,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000
c4,음식점,달사막,제주특별자치도 제주시 조천읍 함덕로 26,2023,13,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00000
c4,음식점,달아래팥,제주특별자치도 제주시 한경면 낙수로 148,2023,21,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.00000
c4,음식점,달이뜨는식탁,제주특별자치도 제주시 구좌읍 월정1길 14,2023,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.00000
