,숙박업명,숙박업주소,숙박위도,숙박경도,구역,대분류명,중분류명,식당명,도시명,행정동명,식당주소,식당위도,식당경도,검색량합계값,제주도민매출금액비율,외지인매출금액비율,전체매출금액비율,숙박_식당 거리
122,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,가정식,제주오성,서귀포시,예래동,제주 서귀포시 중문관광로 27,33.25564662,126.4147302,6410,6.59,27.099999999999998,25.970000000000002,13.409366412038207
93,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,베이커리.디저트,디저트,돌카롱중문점,서귀포시,중문동,제주 서귀포시 중문로41번길 8,33.2557232,126.4243009,4352,0.68,1.31,1.3,12.521143116443623
88,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,가정식,경남식당,서귀포시,중문동,제주 서귀포시 중문동 1351-6번지,33.2577928,126.4268285,3720,3.17,0.01,0.32,12.301606043391821
101,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,소고기,명호마농갈비중문점,서귀포시,중문동,제주 서귀포시 중문관광로 289,33.24623575,126.4290743,3218,21.89,9.7,11.11,12.063512502814577
131,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,회,중문회포장센터새벽야시장,서귀포시,중문동,제주 서귀포시 중문관광로 293,33.24662593,126.4292712,2849,2.4600000000000004,7.4399999999999995,7.25,12.043985114180172
123,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,면류,제주한라국수,서귀포시,중문동,제주 서귀포시 천제연로188번길 17,33.25028812,126.4244199,2709,8.57,3.68,4.25,12.49121792624709
133,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,분식,분식,참맛김밥,서귀포시,중문동,제주 서귀포시 천제연로 213,33.25167165,126.4275928,2705,1.98,0.13,0.31000000000000005,12.198264016211677
120,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,가정식,제주미향,서귀포시,예래동,제주 서귀포시 천제연로 99,33.25515334,126.4163488,2608,1.81,7.8500000000000005,7.460000000000001,13.256345856423165
134,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,고기,돼지고기,천돈가중문본점,서귀포시,예래동,제주 서귀포시 일주서로 873,33.25799011,126.4175102,2463,1.62,5.539999999999999,5.34,13.167321091820924
142,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,일식.회,일식,한스시,서귀포시,중문동,제주 서귀포시 천제연로 238,33.25125024,126.4299181,2414,0.44,0.08,0.13,11.981222152227264
103,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,해장국,산지해장국중문점,서귀포시,중문동,제주 서귀포시 천제연로185번길 12-1,33.25279162,126.4249008,2395,5.07,0.7500000000000001,1.21,12.451587646414838
94,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,한식,단품요리 전문,두리둠비,서귀포시,예래동,제주 서귀포시 중문관광로 16,33.25670998,126.4146896,2379,7.499999999999999,3.32,3.8699999999999997,13.419676328762886
95,베니키아 중문 호텔,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시,카페,커피,로그릭중문점,서귀포시,중문동,제주 서귀포시 천제연로 183,33.25188946,126.4241444,2363,1.28,0.1,0.22000000000000003,12.519357850395393
